term,language,offense_level,sightings_number
fagshit,English,Extremely offensive,66.0
dogans,English,-,66.0
chavettes,English,-,66.0
Hunkies,English,-,65.0
Zio,English,Highly offensive,64.0
dogun,English,Extremely offensive,63.0
ikeys,English,-,63.0
haji,English,Highly offensive,62.0
moke,English,Extremely offensive,62.0
sideways pussies,English,Extremely offensive,62.0
Jewbacca,English,Extremely offensive,62.0
hajji,English,Highly offensive,61.0
Hooray Henries,English,Mildly offensive,61.0
chi chi bwoy,English,-,60.0
mocky,English,Extremely offensive,60.0
twats,English,Mildly offensive,60.0
Cushi,English,Moderately offensive,59.0
dingo fucker,English,Extremely offensive,59.0
border baby,English,-,58.0
senga,English,Mildly offensive,58.0
black invader,English,Highly offensive,58.0
moky,English,Extremely offensive,57.0
red nigger,English,Extremely offensive,57.0
border bandits,English,-,57.0
derka derka,English,Highly offensive,57.0
ginzos,English,-,56.0
muzzy,English,Highly offensive,54.0
Americoon,English,Extremely offensive,54.0
nigar,English,Extremely offensive,54.0
smoked Irish,English,Highly offensive,54.0
japie,English,Extremely offensive,53.0
ice nigger,English,Extremely offensive,52.0
bluegums,English,-,52.0
jiggers,English,Extremely offensive,52.0
bootlip,English,Extremely offensive,52.0
octroon,English,Highly offensive,52.0
dresiarz,English,-,51.0
dot heads,English,Highly offensive,51.0
ziojews,English,-,51.0
border jumpers,English,-,51.0
moulinyans,English,-,51.0
neejee,English,Extremely offensive,51.0
carpet pilot,English,Highly offensive,50.0
burrhead,English,Highly offensive,50.0
durka durkas  ,English,-,49.0
ofay,English,Highly offensive,48.0
hairyback,English,Highly offensive,48.0
niggerton,English,-,48.0
niggerdick,English,-,48.0
mud person,English,Extremely offensive,47.0
pohm,English,Highly offensive,47.0
higgers,English,Moderately offensive,47.0
dyke jumper,English,Mildly offensive,47.0
goobers,English,-,47.0
virago,English,-,47.0
mokies,English,Extremely offensive,47.0
Caublasian,English,Moderately offensive,46.0
Hunyak,English,Highly offensive,45.0
moolinyan,English,Extremely offensive,44.0
honky,English,Moderately offensive,44.0
rice nigger,English,Extremely offensive,44.0
niggertown,English,Extremely offensive,44.0
uncircumcised baboon,English,Extremely offensive,43.0
spink,English,Extremely offensive,42.0
Sloane Rangers,English,-,42.0
kikes,English,Extremely offensive,42.0
jewtard,English,Extremely offensive,42.0
lubra,English,Extremely offensive,42.0
CoronaJihad,English,Extremely offensive,42.0
clog wog,English,Moderately offensive,41.0
nitchie,English,Highly offensive,41.0
neches,English,-,41.0
thicklips,English,Extremely offensive,40.0
guido,English,Highly offensive,40.0
black invaders,English,-,39.0
mammy,English,Extremely offensive,39.0
flipette,English,-,39.0
velvet mafia,English,Mildly offensive,39.0
brown invader,English,Highly offensive,38.0
Leb,English,Extremely offensive,38.0
